investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status,date_anomaly_flag
INV000633,2027-11-07,100016,SIP,14085,Karnataka,Bangalore,T30,46-55,Male,69.2,Mandate,Verified,True
INV001048,2027-11-21,100016,Redemption,479131,Delhi,New Delhi,T30,46-55,Male,46.6,Net Banking,Verified,True
INV002396,2028-01-02,100016,Lumpsum,334855,Rajasthan,Udaipur,B30,18-25,Female,3.6,UPI,Verified,True
INV003604,2028-02-09,100016,Redemption,182854,Punjab,Chandigarh,T30,18-25,Female,7.4,Cheque,Verified,True
INV003173,2028-04-24,100016,SIP,2205,Gujarat,Surat,T30,18-25,Male,7.1,Mandate,Verified,True
INV003123,2028-05-09,100016,SIP,1826,Haryana,Faridabad,B30,36-45,Male,36.2,UPI,Verified,True
INV004191,2028-05-22,100016,SIP,5101,Maharashtra,Nashik,B30,26-35,Female,19.5,Mandate,Verified,True
INV001318,2028-06-14,100016,SIP,2882,Telangana,Hyderabad,T30,36-45,Male,59.3,Cheque,Verified,True
INV001651,2028-09-09,100016,SIP,43304,Gujarat,Ahmedabad,T30,18-25,Male,4.1,UPI,Verified,True
INV000779,2028-10-14,100016,Redemption,227885,Gujarat,Ahmedabad,T30,36-45,Male,35.3,Cheque,Pending,True
INV004421,2028-10-26,100016,SIP,25091,Punjab,Amritsar,B30,26-35,Male,20.5,Net Banking,Pending,True
INV003528,2028-12-10,100016,SIP,858,Madhya Pradesh,Bhopal,B30,18-25,Female,3.6,Net Banking,Verified,True
INV000156,2029-02-28,100016,SIP,2477,Telangana,Hyderabad,T30,46-55,Male,29.1,Net Banking,Verified,True
INV003799,2029-03-02,100016,Redemption,30704,Punjab,Amritsar,B30,18-25,Male,5.6,Cheque,Verified,True
INV003403,2029-06-10,100016,SIP,4799,Madhya Pradesh,Bhopal,B30,18-25,Male,6.3,Mandate,Verified,True
INV004032,2029-07-08,100016,Redemption,161670,West Bengal,Kolkata,T30,46-55,Male,55.5,UPI,Verified,True
INV002039,2029-07-12,100016,SIP,28049,Madhya Pradesh,Bhopal,B30,46-55,Male,17.3,Mandate,Verified,True
INV000033,2029-07-16,100016,Lumpsum,482232,Delhi,New Delhi,T30,36-45,Female,12.4,UPI,Verified,True
INV001625,2029-07-28,100016,Lumpsum,417147,Uttar Pradesh,Kanpur,B30,46-55,Female,78.2,UPI,Verified,True
INV001814,2029-11-26,100016,Lumpsum,368838,West Bengal,Kolkata,T30,26-35,Female,6.9,UPI,Verified,True
INV001874,2030-01-05,100016,Redemption,158701,Telangana,Hyderabad,T30,36-45,Male,21.3,UPI,Verified,True
INV003765,2030-03-22,100016,SIP,6655,Uttar Pradesh,Kanpur,B30,26-35,Male,11.1,UPI,Verified,True
INV003458,2030-06-06,100016,SIP,6309,Gujarat,Surat,T30,36-45,Male,21.3,Mandate,Verified,True
INV001743,2030-07-07,100016,Lumpsum,467295,Telangana,Hyderabad,T30,26-35,Male,23.5,Net Banking,Verified,True
INV002913,2030-08-17,100016,SIP,945,Delhi,New Delhi,T30,56+,Male,28.5,Net Banking,Verified,True
INV003479,2030-10-15,100016,SIP,2705,West Bengal,Kolkata,T30,36-45,Female,44.7,Cheque,Verified,True
INV001956,2030-10-28,100016,SIP,3348,Rajasthan,Jaipur,T30,26-35,Male,22.1,UPI,Verified,True
INV004261,2030-11-26,100016,SIP,1073,West Bengal,Kolkata,T30,56+,Male,49.8,UPI,Verified,True
INV001607,2031-01-21,100016,SIP,2145,Punjab,Amritsar,B30,26-35,Male,14.8,UPI,Verified,True
INV000266,2031-02-14,100016,Lumpsum,353928,Madhya Pradesh,Indore,T30,56+,Male,67.6,Mandate,Verified,True
INV000014,2031-06-09,100016,Lumpsum,258333,Tamil Nadu,Chennai,T30,18-25,Male,4.3,Cheque,Verified,True
INV001692,2031-06-21,100016,SIP,15519,Rajasthan,Jaipur,T30,26-35,Male,11.7,UPI,Verified,True
INV000333,2031-10-03,100016,SIP,6242,Maharashtra,Nashik,B30,26-35,Male,14.8,Mandate,Verified,True
INV003042,2031-11-16,100016,Lumpsum,166053,Tamil Nadu,Coimbatore,B30,46-55,Male,23.5,UPI,Verified,True
INV000522,2031-11-28,100016,SIP,2320,Punjab,Chandigarh,T30,26-35,Female,10.8,Mandate,Verified,True
INV003285,2031-12-07,100016,Redemption,240171,Maharashtra,Pune,T30,36-45,Male,24.0,UPI,Verified,True
INV000621,2031-12-10,100016,SIP,49784,Rajasthan,Udaipur,B30,56+,Female,45.8,Cheque,Verified,True
INV001759,2032-05-11,100016,SIP,855,Haryana,Faridabad,B30,36-45,Female,25.6,Cheque,Verified,True
INV000577,2032-05-20,100016,Lumpsum,225534,Delhi,Noida,T30,36-45,Male,20.4,Mandate,Verified,True
INV004321,2032-07-30,100016,SIP,2545,West Bengal,Kolkata,T30,26-35,Male,16.0,Mandate,Verified,True
INV001056,2032-08-14,100016,Lumpsum,53471,Punjab,Chandigarh,T30,56+,Female,75.1,Net Banking,Verified,True
INV000540,2032-09-23,100016,SIP,4484,Tamil Nadu,Coimbatore,B30,26-35,Female,10.4,UPI,Verified,True
INV000359,2032-09-25,100016,SIP,15304,Tamil Nadu,Chennai,T30,18-25,Male,3.1,Net Banking,Verified,True
INV002276,2032-11-06,100016,Redemption,521732,Telangana,Hyderabad,T30,46-55,Male,88.0,Cheque,Verified,True
INV004138,2033-02-22,100016,Redemption,432244,Madhya Pradesh,Indore,T30,36-45,Male,18.2,Mandate,Verified,True
INV002531,2033-03-26,100016,Lumpsum,382515,Rajasthan,Udaipur,B30,36-45,Female,50.4,Mandate,Verified,True
INV001940,2033-04-04,100016,SIP,419,Delhi,New Delhi,T30,36-45,Male,28.4,Mandate,Verified,True
INV001485,2033-04-19,100016,Lumpsum,62896,Rajasthan,Jaipur,T30,56+,Female,24.4,UPI,Verified,True
INV002645,2033-04-29,100016,Lumpsum,153047,Haryana,Gurugram,T30,46-55,Female,67.7,Net Banking,Verified,True
INV000377,2033-05-27,100016,SIP,467,Karnataka,Bangalore,T30,26-35,Male,19.8,UPI,Verified,True
INV004654,2033-05-28,100016,Lumpsum,26628,Haryana,Gurugram,T30,46-55,Female,95.0,UPI,Verified,True
INV004927,2033-08-07,100016,SIP,2203,Maharashtra,Nashik,B30,26-35,Male,19.5,Net Banking,Verified,True
INV004248,2033-09-13,100016,SIP,1045,West Bengal,Kolkata,T30,46-55,Male,89.3,Net Banking,Verified,True
INV000761,2033-10-18,100016,SIP,13570,Rajasthan,Udaipur,B30,18-25,Female,7.5,Net Banking,Verified,True
INV000559,2033-10-23,100016,Lumpsum,476386,Madhya Pradesh,Indore,T30,26-35,Male,6.1,UPI,Verified,True
INV000105,2033-11-17,100016,Lumpsum,198069,Punjab,Chandigarh,T30,56+,Male,41.4,Mandate,Verified,True
INV004857,2034-04-25,100016,Lumpsum,330814,Delhi,Noida,T30,26-35,Male,15.3,Cheque,Verified,True
INV003736,2034-05-09,100016,SIP,11149,Karnataka,Mysore,B30,18-25,Male,4.9,UPI,Verified,True
INV001318,2034-06-05,100016,SIP,20922,Telangana,Hyderabad,T30,36-45,Male,59.3,Mandate,Verified,True
INV002911,2034-07-28,100016,Lumpsum,6678,Gujarat,Surat,T30,26-35,Male,24.1,UPI,Verified,True
INV003017,2034-12-09,100016,SIP,3193,West Bengal,Kolkata,T30,56+,Male,75.3,Cheque,Verified,True
INV003426,2035-01-05,100016,SIP,1115,Karnataka,Bangalore,T30,46-55,Male,27.8,Cheque,Verified,True
INV004271,2035-01-08,100016,Redemption,237981,Maharashtra,Mumbai,T30,18-25,Male,3.2,Cheque,Verified,True
INV000811,2035-02-15,100016,Lumpsum,77179,Haryana,Faridabad,B30,36-45,Female,34.5,Mandate,Verified,True
INV001331,2035-04-17,100016,SIP,2343,Gujarat,Ahmedabad,T30,26-35,Male,17.5,Net Banking,Verified,True
INV003425,2035-05-30,100016,SIP,1841,Gujarat,Surat,T30,26-35,Female,14.5,Net Banking,Verified,True
INV000507,2035-08-15,100016,SIP,14554,Gujarat,Ahmedabad,T30,36-45,Male,44.1,Mandate,Verified,True
INV000255,2035-08-29,100016,SIP,5396,Haryana,Gurugram,T30,26-35,Female,19.9,Mandate,Verified,True
INV001466,2035-10-05,100016,Lumpsum,193402,Delhi,Noida,T30,46-55,Female,20.3,Cheque,Verified,True
INV000772,2035-11-09,100016,Redemption,257808,Karnataka,Bangalore,T30,56+,Female,16.1,UPI,Verified,True
INV003810,2035-12-30,100016,Lumpsum,347722,Maharashtra,Nashik,B30,26-35,Male,24.7,UPI,Verified,True
INV004933,2036-01-03,100016,Lumpsum,446695,Karnataka,Bangalore,T30,46-55,Female,65.3,UPI,Verified,True
INV003917,2036-03-03,100016,SIP,2654,Haryana,Faridabad,B30,26-35,Male,16.0,Mandate,Verified,True
INV004428,2036-04-02,100016,SIP,9958,Rajasthan,Udaipur,B30,26-35,Female,6.7,Net Banking,Verified,True
INV001257,2036-04-23,100016,Lumpsum,315228,Punjab,Chandigarh,T30,26-35,Female,6.3,Net Banking,Verified,True
INV000544,2036-06-17,100016,SIP,13426,Madhya Pradesh,Bhopal,B30,18-25,Male,3.6,Net Banking,Verified,True
INV004536,2036-08-10,100016,SIP,5635,Telangana,Hyderabad,T30,26-35,Female,6.3,Cheque,Verified,True
INV002697,2036-09-18,100016,SIP,866,West Bengal,Kolkata,T30,26-35,Male,14.1,Mandate,Verified,True
INV003031,2036-10-08,100016,Redemption,449247,Karnataka,Bangalore,T30,18-25,Male,7.7,UPI,Pending,True
INV003128,2036-11-12,100016,Lumpsum,86493,Uttar Pradesh,Kanpur,B30,18-25,Female,7.7,UPI,Verified,True
INV002746,2036-11-21,100016,SIP,3208,Delhi,Noida,T30,26-35,Male,23.2,Net Banking,Verified,True
INV001017,2037-06-30,100016,SIP,12697,West Bengal,Kolkata,T30,26-35,Female,19.0,Cheque,Verified,True
INV003379,2037-07-10,100016,Lumpsum,107399,Uttar Pradesh,Lucknow,T30,36-45,Male,43.2,Net Banking,Verified,True
INV000950,2037-08-26,100016,SIP,13762,Punjab,Amritsar,B30,36-45,Male,33.1,Net Banking,Pending,True
INV001299,2037-09-24,100016,SIP,21958,Haryana,Faridabad,B30,26-35,Male,19.9,UPI,Verified,True
INV001457,2037-09-28,100016,SIP,2252,Gujarat,Ahmedabad,T30,26-35,Male,17.7,Mandate,Verified,True
INV000283,2038-02-28,100016,SIP,2773,West Bengal,Kolkata,T30,46-55,Male,18.1,Mandate,Verified,True
INV003671,2038-04-19,100016,Lumpsum,412976,Haryana,Gurugram,T30,36-45,Female,22.9,UPI,Verified,True
INV002661,2038-04-25,100016,SIP,497,West Bengal,Kolkata,T30,36-45,Male,21.6,Cheque,Verified,True
INV002809,2038-04-30,100016,SIP,8050,Uttar Pradesh,Agra,B30,36-45,Male,48.6,UPI,Pending,True
INV003771,2038-06-12,100016,SIP,2511,Telangana,Hyderabad,T30,46-55,Male,47.6,UPI,Pending,True
INV001073,2038-07-24,100016,SIP,1636,West Bengal,Kolkata,T30,36-45,Female,25.1,Cheque,Verified,True
INV003434,2038-09-23,100016,SIP,490,Gujarat,Surat,T30,18-25,Male,5.9,UPI,Verified,True
INV002188,2038-10-16,100016,Lumpsum,138732,Rajasthan,Jaipur,T30,26-35,Male,19.1,Cheque,Verified,True
INV004640,2038-10-31,100016,SIP,567,Telangana,Hyderabad,T30,36-45,Male,46.5,Net Banking,Verified,True
INV003016,2039-01-31,100016,SIP,6880,Madhya Pradesh,Bhopal,B30,26-35,Male,12.7,Mandate,Verified,True
INV001463,2039-04-02,100016,SIP,587,Maharashtra,Nashik,B30,36-45,Male,54.5,Net Banking,Verified,True
INV001646,2039-05-07,100016,SIP,2236,Karnataka,Bangalore,T30,26-35,Male,18.9,Mandate,Verified,True
INV001595,2039-05-20,100016,Lumpsum,157424,Gujarat,Ahmedabad,T30,56+,Male,78.5,Mandate,Verified,True
INV004212,2039-05-23,100016,SIP,1124,Uttar Pradesh,Kanpur,B30,36-45,Male,41.5,Cheque,Verified,True
INV001828,2039-06-26,100016,SIP,22118,Gujarat,Surat,T30,36-45,Male,27.7,Net Banking,Verified,True
INV000947,2039-07-03,100016,Lumpsum,378804,Delhi,Noida,T30,26-35,Male,11.0,UPI,Verified,True
INV001672,2039-07-23,100016,SIP,4818,Maharashtra,Pune,T30,18-25,Male,5.4,Net Banking,Pending,True
INV001462,2039-09-05,100016,SIP,2511,Gujarat,Surat,T30,26-35,Male,19.4,UPI,Verified,True
INV004749,2039-10-17,100016,SIP,5464,Karnataka,Bangalore,T30,56+,Male,45.5,Mandate,Verified,True
INV000675,2039-11-03,100016,Redemption,371165,Uttar Pradesh,Kanpur,B30,36-45,Male,27.9,Cheque,Pending,True
INV000759,2039-12-03,100016,Redemption,249608,Gujarat,Ahmedabad,T30,26-35,Male,7.6,Cheque,Verified,True
INV004723,2040-02-16,100016,SIP,7402,Gujarat,Surat,T30,26-35,Male,23.0,Net Banking,Verified,True
INV004442,2040-03-20,100016,SIP,2597,Haryana,Faridabad,B30,18-25,Male,5.8,UPI,Verified,True
INV004896,2040-04-10,100016,Lumpsum,171288,Uttar Pradesh,Agra,B30,18-25,Female,3.5,UPI,Verified,True
INV002054,2040-05-04,100016,SIP,2508,Telangana,Hyderabad,T30,26-35,Male,17.8,Net Banking,Verified,True
INV002329,2040-05-31,100016,Lumpsum,7964,Madhya Pradesh,Indore,T30,56+,Male,51.2,Cheque,Verified,True
INV000467,2040-06-23,100016,SIP,1955,Karnataka,Bangalore,T30,18-25,Female,7.1,Net Banking,Verified,True
INV002968,2040-08-07,100016,SIP,8541,West Bengal,Kolkata,T30,36-45,Female,16.2,Net Banking,Verified,True
INV002271,2040-08-08,100016,SIP,4740,Tamil Nadu,Chennai,T30,46-55,Female,75.9,Mandate,Verified,True
INV004521,2040-09-13,100016,Lumpsum,441720,Gujarat,Ahmedabad,T30,18-25,Male,7.9,UPI,Verified,True
INV004050,2040-10-05,100016,Lumpsum,176485,West Bengal,Kolkata,T30,26-35,Male,15.5,Mandate,Verified,True
INV001317,2040-10-20,100016,Lumpsum,355581,Punjab,Chandigarh,T30,26-35,Female,8.9,UPI,Verified,True
INV004848,2041-01-07,100016,SIP,818,Haryana,Gurugram,T30,26-35,Male,15.6,Net Banking,Verified,True
INV003353,2041-01-18,100016,SIP,5505,Rajasthan,Udaipur,B30,26-35,Female,13.3,Cheque,Verified,True
INV000548,2041-02-21,100016,Redemption,447555,Karnataka,Mysore,B30,36-45,Male,53.2,UPI,Verified,True
INV000095,2041-03-31,100016,Lumpsum,525882,West Bengal,Kolkata,T30,18-25,Male,6.5,Cheque,Verified,True
INV003311,2041-04-10,100016,SIP,2266,Madhya Pradesh,Bhopal,B30,26-35,Male,9.5,UPI,Verified,True
INV002006,2041-07-07,100016,SIP,1830,Punjab,Chandigarh,T30,26-35,Male,15.3,Cheque,Verified,True
INV004447,2041-08-06,100016,SIP,21507,West Bengal,Kolkata,T30,36-45,Female,53.4,UPI,Verified,True
INV003018,2041-09-04,100016,SIP,2370,Delhi,Gurugram,T30,36-45,Male,14.1,Net Banking,Verified,True
INV001063,2041-11-01,100016,Redemption,470452,Haryana,Faridabad,B30,26-35,Male,24.1,Net Banking,Verified,True
INV001005,2041-11-14,100016,Lumpsum,319954,Karnataka,Bangalore,T30,46-55,Male,84.6,Net Banking,Verified,True
INV001342,2041-11-20,100016,Lumpsum,300845,West Bengal,Kolkata,T30,26-35,Female,15.5,UPI,Verified,True
INV000437,2041-12-02,100016,SIP,2855,Telangana,Hyderabad,T30,26-35,Female,6.1,Net Banking,Verified,True
INV002632,2041-12-08,100016,SIP,4708,Tamil Nadu,Chennai,T30,26-35,Female,14.1,Net Banking,Verified,True
INV002477,2042-01-24,100016,SIP,800,West Bengal,Kolkata,T30,46-55,Female,72.4,Net Banking,Verified,True
INV000113,2042-02-26,100016,SIP,7201,Punjab,Chandigarh,T30,26-35,Female,7.3,Net Banking,Verified,True
INV004540,2042-03-17,100016,Lumpsum,53310,Punjab,Chandigarh,T30,36-45,Male,48.9,Mandate,Verified,True
INV003376,2042-05-08,100016,Lumpsum,50456,Delhi,New Delhi,T30,36-45,Male,44.4,Cheque,Verified,True
INV002154,2042-05-22,100016,SIP,2234,Uttar Pradesh,Lucknow,T30,36-45,Male,40.5,Mandate,Verified,True
INV001791,2042-05-23,100016,SIP,4319,Delhi,New Delhi,T30,26-35,Male,13.3,Mandate,Verified,True
INV000521,2042-06-14,100016,Redemption,531396,West Bengal,Kolkata,T30,26-35,Male,9.7,UPI,Verified,True
INV001654,2042-11-25,100016,Lumpsum,333935,Uttar Pradesh,Lucknow,T30,36-45,Female,28.1,UPI,Verified,True
INV001180,2042-12-03,100016,SIP,26576,Telangana,Hyderabad,T30,26-35,Male,10.5,UPI,Verified,True
INV003070,2043-01-06,100016,SIP,13350,West Bengal,Kolkata,T30,26-35,Male,23.7,UPI,Verified,True
INV003426,2043-02-09,100016,Redemption,473916,Karnataka,Bangalore,T30,46-55,Male,27.8,Cheque,Verified,True
INV004790,2043-02-11,100016,Lumpsum,394131,Tamil Nadu,Coimbatore,B30,18-25,Male,3.4,Mandate,Verified,True
INV004199,2043-03-17,100016,Lumpsum,31954,Tamil Nadu,Chennai,T30,56+,Male,76.5,Net Banking,Verified,True
INV000893,2043-04-08,100016,SIP,2778,Punjab,Chandigarh,T30,46-55,Male,35.3,Mandate,Verified,True
INV001971,2043-04-12,100016,SIP,50467,Gujarat,Ahmedabad,T30,26-35,Male,21.0,UPI,Verified,True
INV001181,2043-07-08,100016,SIP,550,West Bengal,Kolkata,T30,26-35,Male,21.0,UPI,Verified,True
INV003709,2043-08-12,100016,SIP,24123,Uttar Pradesh,Agra,B30,46-55,Female,21.0,Cheque,Verified,True
INV003448,2043-08-17,100016,SIP,4762,Rajasthan,Udaipur,B30,26-35,Male,16.4,UPI,Verified,True
INV004270,2043-09-12,100016,Lumpsum,337802,Rajasthan,Udaipur,B30,18-25,Male,5.7,Cheque,Verified,True
INV000462,2043-09-30,100016,SIP,49986,Haryana,Gurugram,T30,56+,Female,42.3,Cheque,Verified,True
INV000954,2043-12-05,100016,Lumpsum,398421,Haryana,Faridabad,B30,26-35,Female,8.3,Cheque,Verified,True
INV002292,2043-12-23,100016,Redemption,152628,Rajasthan,Udaipur,B30,36-45,Male,54.1,UPI,Verified,True
INV003324,2043-12-26,100016,Redemption,150408,Karnataka,Mysore,B30,26-35,Male,20.7,Net Banking,Pending,True
INV003571,2044-01-11,100016,SIP,2171,Haryana,Faridabad,B30,36-45,Male,53.1,UPI,Verified,True
INV000421,2044-02-16,100016,SIP,12013,Tamil Nadu,Chennai,T30,36-45,Male,31.9,Cheque,Verified,True
INV001735,2044-02-22,100016,SIP,15573,Maharashtra,Pune,T30,56+,Male,41.9,Cheque,Verified,True
INV004927,2044-03-10,100016,SIP,2185,Maharashtra,Nashik,B30,26-35,Male,19.5,Net Banking,Verified,True
INV000252,2044-04-16,100016,Lumpsum,448748,Gujarat,Surat,T30,46-55,Female,24.4,UPI,Verified,True
INV002240,2044-12-08,100016,SIP,4177,Haryana,Faridabad,B30,26-35,Male,24.7,Mandate,Verified,True
INV001662,2044-12-24,100016,Lumpsum,151624,Delhi,Gurugram,T30,36-45,Male,45.6,Net Banking,Verified,True
INV000400,2045-04-25,100016,SIP,4034,Punjab,Chandigarh,T30,26-35,Male,22.1,Mandate,Verified,True
INV004403,2045-07-23,100016,SIP,407,West Bengal,Kolkata,T30,26-35,Male,17.6,Cheque,Verified,True
INV003533,2045-09-18,100016,Redemption,440266,Telangana,Hyderabad,T30,56+,Female,11.4,Cheque,Verified,True
INV004748,2045-10-29,100016,SIP,3205,Delhi,Noida,T30,26-35,Male,12.6,Cheque,Verified,True
INV001574,2045-11-26,100016,SIP,9228,Maharashtra,Mumbai,T30,36-45,Female,35.7,Mandate,Verified,True
INV003101,2045-12-06,100016,SIP,4585,Tamil Nadu,Chennai,T30,26-35,Female,24.8,Cheque,Verified,True
INV002391,2045-12-12,100016,SIP,1941,Madhya Pradesh,Bhopal,B30,18-25,Female,7.9,Mandate,Verified,True
INV004977,2046-08-22,100016,SIP,9468,Gujarat,Surat,T30,18-25,Male,5.4,Mandate,Verified,True
INV003834,2046-08-28,100016,SIP,4452,Madhya Pradesh,Bhopal,B30,36-45,Male,25.1,Cheque,Verified,True
INV000128,2046-08-30,100016,Redemption,235012,Rajasthan,Jaipur,T30,36-45,Female,50.9,Mandate,Verified,True
INV000676,2046-09-14,100016,SIP,1747,Rajasthan,Udaipur,B30,56+,Male,71.7,Mandate,Verified,True
INV001517,2046-12-04,100016,Redemption,367152,Karnataka,Mysore,B30,36-45,Female,23.5,UPI,Verified,True
INV003773,2047-02-07,100016,SIP,1034,West Bengal,Kolkata,T30,46-55,Female,53.9,Mandate,Verified,True
INV001220,2047-07-08,100016,SIP,2834,Punjab,Chandigarh,T30,36-45,Male,48.3,Cheque,Verified,True
INV003349,2047-11-29,100016,Lumpsum,144588,Uttar Pradesh,Agra,B30,26-35,Male,10.5,Net Banking,Verified,True
INV002870,2048-01-09,100016,SIP,23327,Karnataka,Mysore,B30,26-35,Female,23.7,Net Banking,Verified,True
INV000978,2048-01-12,100016,SIP,5553,West Bengal,Kolkata,T30,26-35,Male,18.6,Cheque,Verified,True
INV001579,2048-02-20,100016,SIP,16662,Karnataka,Bangalore,T30,46-55,Male,71.1,Cheque,Verified,True
INV000764,2048-06-07,100016,SIP,7458,Punjab,Chandigarh,T30,26-35,Male,15.6,Mandate,Verified,True
INV002075,2048-06-24,100016,SIP,56774,Uttar Pradesh,Lucknow,T30,36-45,Female,34.4,Mandate,Verified,True
INV003140,2048-07-13,100016,Redemption,133715,West Bengal,Kolkata,T30,26-35,Male,16.9,Net Banking,Verified,True
INV002950,2048-07-21,100016,SIP,544,Madhya Pradesh,Indore,T30,46-55,Female,37.4,Mandate,Verified,True
INV001299,2048-08-26,100016,SIP,2441,Haryana,Faridabad,B30,26-35,Male,19.9,UPI,Pending,True
INV000469,2048-08-29,100016,SIP,17529,Tamil Nadu,Coimbatore,B30,18-25,Male,4.7,Cheque,Verified,True
INV000394,2048-10-14,100016,SIP,1196,Maharashtra,Mumbai,T30,26-35,Male,12.2,Mandate,Verified,True
INV001625,2049-01-29,100016,Lumpsum,416335,Uttar Pradesh,Kanpur,B30,46-55,Female,78.2,Cheque,Verified,True
INV002506,2049-04-30,100016,SIP,993,Karnataka,Bangalore,T30,18-25,Female,3.2,Mandate,Verified,True
INV004999,2049-06-23,100016,SIP,6290,Telangana,Hyderabad,T30,26-35,Male,24.8,Net Banking,Verified,True
INV000430,2049-10-12,100016,SIP,57123,Punjab,Amritsar,B30,18-25,Male,3.3,Cheque,Verified,True
INV000494,2049-11-02,100016,Lumpsum,297784,Punjab,Amritsar,B30,56+,Male,30.4,Mandate,Verified,True
INV000164,2049-12-25,100016,SIP,5556,Rajasthan,Udaipur,B30,18-25,Male,6.0,Net Banking,Verified,True
INV000532,2050-02-11,100016,Redemption,310669,Madhya Pradesh,Bhopal,B30,26-35,Male,9.0,Mandate,Verified,True
INV000054,2050-02-16,100016,SIP,500,Telangana,Hyderabad,T30,46-55,Female,37.5,UPI,Pending,True
INV000445,2050-02-28,100016,SIP,12897,Madhya Pradesh,Bhopal,B30,26-35,Female,24.7,Cheque,Verified,True
INV002536,2050-04-19,100016,Lumpsum,249795,West Bengal,Kolkata,T30,26-35,Male,11.9,Cheque,Verified,True
INV003025,2050-05-08,100016,SIP,5781,Gujarat,Surat,T30,26-35,Female,11.9,UPI,Verified,True
INV000054,2050-05-17,100016,Redemption,205457,Telangana,Hyderabad,T30,46-55,Female,37.5,Mandate,Verified,True
