amfi_code,scheme_name,benchmark,benchmark_series_used,Alpha_annualized,Beta,R_squared,p_value,n_obs,Alpha_Rank
119552,SBI Bluechip Fund - Direct Plan - Growth,NIFTY 100 TRI,NIFTY100,0.1987,-0.0262,0.0006,0.4127,1149,15
118634,Nippon India Small Cap Fund - Regular - Growth,BSE 250 SmallCap TRI,BSE_SMALLCAP,0.1782,0.0001,0.0,0.9987,1149,16
125497,HDFC Top 100 Fund - Direct Plan - Growth,NIFTY 100 TRI,NIFTY100,0.1773,0.0488,0.0018,0.1462,1149,17
120503,ICICI Pru Bluechip Fund - Regular - Growth,NIFTY 100 TRI,NIFTY100,0.177,-0.0403,0.0014,0.2054,1149,18
102885,UTI Nifty 50 Index Fund - Regular - Growth,NIFTY 50 TRI,NIFTY50,0.1699,-0.0019,0.0,0.949,1149,19
102887,UTI Flexi Cap Fund - Regular - Growth,NIFTY 500 TRI,NIFTY500,0.1658,-0.015,0.0002,0.6552,1149,20
118633,Nippon India Large Cap Fund - Direct - Growth,NIFTY 100 TRI,NIFTY100,0.1564,-0.0366,0.0011,0.2532,1149,21
120506,ICICI Pru Value Discovery Fund - Regular - Growth,NIFTY 500 TRI,NIFTY500,0.1521,0.0548,0.0025,0.0908,1149,22
118635,Nippon India ETF Nifty 50 BeES,NIFTY 50 TRI,NIFTY50,0.1516,-0.0138,0.0002,0.6431,1149,23
149322,DSP Top 100 Equity Fund - Regular - Growth,NIFTY 100 TRI,NIFTY100,0.1317,-0.0041,0.0,0.902,1149,24
120841,Kotak Bluechip Fund - Regular - Growth,NIFTY 100 TRI,NIFTY100,0.1304,0.0364,0.0012,0.2385,1149,25
101207,ABSL Small Cap Fund - Regular - Growth,BSE 250 SmallCap TRI,BSE_SMALLCAP,0.1197,-0.0486,0.0017,0.1576,1149,26
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,NIFTY Midcap 150 TRI,NIFTY_MIDCAP150,0.1034,0.0592,0.0033,0.0512,1149,27
120842,Kotak Emerging Equity Fund - Regular - Growth,NIFTY Midcap 150 TRI,NIFTY_MIDCAP150,0.0885,-0.0351,0.0012,0.2366,1149,28
119093,Axis Bluechip Fund - Direct - Growth,NIFTY 100 TRI,NIFTY100,0.0823,0.0259,0.0006,0.4191,1149,29
119092,Axis Bluechip Fund - Regular - Growth,NIFTY 100 TRI,NIFTY100,0.069,0.0097,0.0001,0.7608,1149,30
120507,ICICI Pru Liquid Fund - Regular - Growth,CRISIL Liquid Fund AI Index,CRISIL_LIQUID,0.0637,0.0595,0.0039,0.0347,1149,31
120844,Kotak Liquid Fund - Regular - Growth,CRISIL Liquid Fund AI Index,CRISIL_LIQUID,0.063,0.0238,0.0006,0.4166,1149,32
101208,ABSL Liquid Fund - Regular - Growth,CRISIL Liquid Fund AI Index,CRISIL_LIQUID,0.0628,-0.0302,0.001,0.2965,1149,33
119095,Axis Small Cap Fund - Regular - Growth,BSE 250 SmallCap TRI,BSE_SMALLCAP,0.0579,-0.0456,0.0016,0.1726,1149,34
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,CRISIL Dynamic Gilt Index,CRISIL_GILT,0.0561,-0.0009,0.0,0.9737,1149,35
118636,Nippon India Gilt Securities Fund - Regular - Growth,CRISIL Dynamic Gilt Index,CRISIL_GILT,0.0518,-0.0097,0.0001,0.7332,1149,36
100025,HDFC Short Term Debt Fund - Regular - Growth,CRISIL Short Term Bond Index,CRISIL_LIQUID,0.05,-0.113,0.0002,0.6122,1149,37
119599,SBI Small Cap Fund - Direct Plan - Growth,BSE 250 SmallCap TRI,BSE_SMALLCAP,0.0478,0.0113,0.0001,0.7353,1149,38
102886,UTI Mid Cap Fund - Regular - Growth,NIFTY Midcap 150 TRI,NIFTY_MIDCAP150,0.0415,-0.0491,0.0023,0.1021,1149,39
100016,HDFC Top 100 Fund - Regular Plan - Growth,NIFTY 100 TRI,NIFTY100,0.0375,-0.0583,0.0027,0.0803,1149,40
